id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
9449,Xie C.,0.0122,0.7165,7,6,16,8,763,42.8911,2019.125,95.375,5.3614
9456,Xie L.,0.0641,0.4198,7,11,14,12,352,14.6334,2020,29.3333,1.2194
9525,Xue M.,0.1006,-0.1725,6,7,13,11,363,22.7632,2019.7273,33,2.0694
9670,Yegneswaran V.,0.7286,-0.0939,9,5,9,4,488,14.8361,2018.75,122,3.709
9687,Yi J.,-0.8324,-0.3712,5,11,30,17,829,34.0359,2018.7647,48.7647,2.0021
9798,Yuan X.,-0.3066,0.5219,2,9,12,6,574,44.494,2019.8333,95.6667,7.4157
9817,Yuille A.L.,-0.2706,0.7134,7,6,11,7,503,34.6375,2019.2857,71.8571,4.9482
9901,Zhang F.,-0.2498,-0.1256,6,14,16,21,435,42.5011,2017.0476,20.7143,2.0239
9903,Zhang H.,-0.7231,-0.0814,5,24,76,74,1290,94.3619,2019.7973,17.4324,1.2752
9905,Zhang J.,-0.4765,0.2044,2,22,49,64,367,98.623,2020.125,5.7344,1.541
9926,Zhang X.,-0.0996,-0.0158,2,28,55,77,364,96.5196,2020.1429,4.7273,1.2535
9928,Zhang Y.,-0.4143,-0.1017,2,25,47,101,497,92.5163,2019.9109,4.9208,0.916
9929,Zhang Z.,-0.0333,0.2866,7,20,43,49,838,71.1259,2020.102,17.102,1.4515
9953,Zhao Y.,0.1026,0.1808,2,14,27,37,359,89.2255,2020.0811,9.7027,2.4115
10014,Zhou Y.,-0.2876,0.3587,7,17,27,40,702,49.2565,2019,17.55,1.2314
10024,Zhu J.,-0.6097,0.5573,8,13,44,32,1068,61.4953,2019.9375,33.375,1.9217
10031,Zhu Q.,-0.0868,0.4863,2,8,11,19,584,44.6626,2018.4211,30.7368,2.3507
10103,Zügner D.,0.4229,0.9961,15,1,7,7,364,20.9993,2019.1429,52,2.9999
10113,Šrndić N.,0.9939,0.3664,3,7,8,2,793,23.4641,2013.5,396.5,11.732
