id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
2219,Black Boxes,1.02,0.0246,2,145,1801,337,2019.9822,13.8665,1.1624
2230,Black-Box Attack,1.1574,0.1784,2,103,501,83,2020.1325,13.9759,0.8258
2416,Budget Control,-0.1373,0.3031,1,100,278,59,2019.8814,4.8644,0.7789
2894,Classification (Of Information),0.0918,-0.5982,3,151,2458,434,2019.7373,12.2304,1.1044
2896,Classification Accuracy,-0.0457,-0.639,5,125,678,110,2019.7455,14.9364,1.3844
2919,Classification Models,0.2911,-0.6544,2,117,580,96,2019.9896,16.8229,1.1161
2933,Classification Tasks,0.1698,-0.0126,3,112,382,70,2019.6857,17.3714,1.0533
3478,Complex Networks,-0.3534,0.4062,1,102,285,69,2018.1739,9.5652,0.9212
3604,Computational Linguistics,0.5126,-0.5924,3,62,212,70,2020.2,9.1143,1.2505
3655,Computer Crime,-1.1457,-0.0552,1,131,1530,278,2018.4568,14.0647,1.1634
3693,Computer Vision,0.88,-0.1386,2,140,1984,416,2019.9447,15.2139,1.1525
3709,Computers,0.2746,-0.8088,2,86,234,59,2019.1525,6.3729,0.4296
4150,Convolution,0.3808,0.1858,3,130,1013,153,2020.0392,7.3399,1.0934
4167,Convolutional Networks,0.0935,0.1257,3,89,387,66,2019.8333,16.2727,1.4526
4170,Convolutional Neural Network,0.5109,0.2328,3,121,1066,164,2019.7683,14.3659,1.1054
4176,Convolutional Neural Networks,0.3847,0.0924,3,145,1827,295,2020.339,4.9119,1.0416
4352,Crime,-1.1112,0.2641,1,107,475,92,2018.5109,11.7609,1.2859
4493,Cryptography,-0.7652,0.0269,1,117,585,196,2017.9235,16.352,1.0075
4586,Cyber Physical System,-0.9581,0.4877,1,93,380,84,2019.4048,9.9524,1.3939
4595,Cyber Security,-1.1101,0.1428,1,127,811,164,2018.9634,7.2073,0.9617
4614,Cyber-Attacks,-1.1712,0.2068,1,82,320,61,2018.9508,4.6885,1.2224
4651,Cybersecurity,-1.1512,0.128,1,112,524,101,2019.7921,4.3564,0.9302
4794,Data Mining,-0.2448,-0.0203,3,131,801,140,2018.9786,19.4357,1.2396
4821,Data Privacy,-0.5668,0.0533,1,121,720,166,2018.7952,16.8373,1.4134
4995,Decision Boundary,0.7036,-0.3961,2,99,310,60,2019.8333,6.6,0.9726
5005,Decision Making,-0.5873,0.3824,1,124,539,118,2019.0593,8.1441,0.9252
5033,Decision Trees,-0.8702,-0.6557,4,104,428,69,2019.4493,16.1304,1.4782
5106,Deep Learning,0.0945,-0.1376,2,151,7433,1385,2020.0592,10.4014,1.357
5144,Deep Neural Network,0.8595,0.489,2,131,970,149,2020.1409,7.698,1.3258
5152,Deep Neural Networks,0.7052,0.0227,2,150,6631,1227,2019.9503,10.7196,1.1229
5208,Defense,0.4052,0.8224,6,97,401,58,2020.2414,6.2069,1.1154
5220,Defense Mechanism,0.1596,0.781,6,120,500,94,2019.5213,10.3617,1.2006
5229,Defense Strategy,-0.2621,0.7199,6,114,471,90,2019.6556,20.9444,1.3266
5306,Denial-Of-Service Attack,-0.9455,0.3151,1,99,463,123,2018.813,8.1138,0.8424
5447,Detection Methods,0.0775,-0.7491,2,104,290,61,2020.0984,4.5738,1.1578
5572,Different Attacks,0.0124,0.3462,6,115,370,67,2019.2388,13.5224,1.2989
6261,Economic And Social Effects,-0.1061,-0.0714,1,119,402,93,2019.5914,9.3763,0.8377
6400,Electric Power Transmission Networks,-1.1203,0.3737,1,86,383,79,2019.4684,8.2278,1.1899
6524,Embedded Systems,-0.9294,0.49,1,124,744,173,2018.7919,14.8208,1.2219
6540,Embeddings,0.4023,-0.5378,3,94,290,59,2020.0678,5.9831,1.1696
7190,Face Recognition,0.0148,-0.3114,2,128,789,161,2019.8634,11.2484,1.3898
7396,Feature Extraction,-0.2379,-0.5773,4,118,574,93,2019.5376,11.3226,1.4662
7735,Forecasting,-0.2454,0.0917,3,121,435,91,2019.7582,7.5714,0.637
8037,Game Theory,-0.6936,0.4827,1,105,558,172,2017.7674,12.5407,0.8239
8204,Generative Adversarial Network,-0.3452,-0.4794,1,125,572,100,2020.22,4.54,1.0208
8211,Generative Adversarial Networks,-0.6346,-0.2242,1,130,761,151,2020.4371,4.3907,0.9275
8406,Gradient Based,1.0497,-0.3247,2,96,347,72,2020.1389,6.6111,0.9853
8437,Gradient Methods,0.5999,0.1242,2,116,546,103,2020.068,5.8932,0.9275
8524,Graph Neural Networks,-0.0219,0.1394,3,83,319,59,2020.3898,6.8814,1.0459
8547,Graph Theory,-0.0837,0.1609,3,84,285,60,2019.1667,9.15,0.8683
8564,Graphic Methods,-0.0637,0.1253,3,102,331,62,2019.3871,6,0.786
9128,Human,-0.0286,0.5884,1,99,416,74,2019.973,16.2973,2.9284
9373,Image Classification,1.1374,-0.175,2,126,1146,189,2020.0847,5.2857,0.8556
9379,Image Classifiers,1.2225,-0.1969,2,92,367,68,2020.0735,7.0147,0.982
9423,Image Enhancement,0.7744,-0.246,2,123,849,162,2020.2284,5.4753,1.0454
9468,Image Processing,0.4906,-0.3959,2,110,491,85,2019.6941,4.0824,0.8993
9481,Image Recognition,1.1585,-0.0542,2,116,640,99,2019.9192,9.8788,1.1486
9508,Image Segmentation,0.7668,-0.0945,2,107,506,81,2020.0494,17.0494,1.0741
10268,Internet Of Things,-0.9325,-0.0501,1,130,873,171,2020.0175,6.2456,1.4855
10269,Internet Of Things (Iot),-0.9373,-0.0847,1,95,338,60,2019.8833,8.65,1.9799
10305,Interpretability,0.4124,-0.7863,2,96,309,63,2020.1429,6.8095,1.1347
10341,Intrusion Detection,-1.1786,-0.2341,1,133,1670,279,2018.9821,11.9283,1.3491
10353,Intrusion Detection Systems,-1.263,-0.2291,1,104,723,112,2019.2589,8.8661,1.2878
10488,Iterative Methods,0.7829,0.1065,2,136,947,173,2019.8208,12.8382,1.2858
10509,Jamming,-0.6539,0.5612,1,62,186,72,2017.3472,13.3056,0.9242
10809,Large Dataset,0.1169,-0.3761,3,120,484,91,2019.956,20.4066,1.4954
10940,Learning Algorithms,-0.819,-0.3975,4,149,2232,368,2019.106,18.1603,1.3254
10972,Learning Models,0.5066,-0.252,2,142,1287,217,2020.1613,12.576,0.9916
10997,Learning Systems,-0.4516,-0.4326,4,151,4613,806,2019.3896,15.6079,1.4304
11417,Long Short-Term Memory,-0.4191,-0.6268,3,106,412,72,2020.2917,6.1111,1.158
11577,Machine Learning,-0.7573,-0.2701,4,150,3995,775,2019.7432,9.8671,1.2531
11601,Machine Learning Models,-0.2833,-0.722,4,146,1403,247,2019.8826,15.332,1.1712
11609,Machine Learning Techniques,-1.0532,-0.5151,4,98,457,78,2019.1667,8.0641,0.9735
11625,Machine-Learning,-0.967,-0.3867,4,94,343,60,2019.7833,14.9667,0.8311
11705,Malware,-0.6807,-0.7285,4,142,1797,309,2019.2686,16.0097,1.1061
11714,Malware Detection,-0.6811,-0.8154,4,125,1005,150,2019.2733,18.3867,1.1533
12282,Misclassifications,0.7947,-0.6035,2,130,1034,167,2019.6886,14.1257,0.9475
12964,Multilayer Neural Networks,0.2848,0.1324,3,100,353,59,2020.1695,5.1864,0.6987
13196,Natural Language Processing,0.531,-0.6933,3,113,532,81,2020.2593,4.1235,1.2484
13199,Natural Language Processing Systems,0.5192,-0.6549,3,121,692,118,2020.1186,5.5,1.2121
13297,Network Architecture,0.2035,0.3727,2,139,960,192,2019.4635,13.5625,1.5735
13399,Network Layers,-0.4189,0.5559,1,100,318,73,2018.274,9.9178,0.8998
13450,Network Security,-0.5304,0.2515,1,151,5437,1134,2019.3166,12.7963,1.2158
13557,Neural Network,0.8352,0.3237,2,98,383,67,2019.8507,14.2687,0.7911
13576,Neural Network Model,0.5447,0.0344,2,123,527,91,2020.2967,3.5165,0.432
13592,Neural Networks,0.5045,0.3372,2,151,3362,601,2019.8203,11.9451,1.1853
13612,Neural-Networks,0.7294,0.2862,2,118,590,109,2020.9725,0.5505,0.4732
14005,Object Detection,1.1139,0.4595,2,112,826,150,2020.1,7.66,1.2572
14024,Object Recognition,1.0992,0.4958,2,94,525,98,2020.0204,8.6327,1.3996
14383,Optimization,-0.1049,0.4377,1,134,729,152,2018.8092,18.8618,1.2802
14401,Optimization Problems,-0.1738,0.4022,1,103,281,63,2018.9206,13.2698,1.4328
14445,Original Images,1.0293,-0.4164,2,88,365,62,2019.9839,6.5645,0.6858
14768,Pattern Recognition,0.2339,-0.4921,2,121,605,132,2019.0833,9.4015,0.8909
14869,Performance,0.4794,-0.0829,3,121,523,104,2020.8365,0.7404,0.4859
14984,Perturbation Techniques,0.7091,0.3971,2,100,387,59,2020.3559,17.0678,1.789
15165,Pixels,1.0277,-0.1056,2,102,471,87,2019.9885,12.3563,1.3058
15224,Poisoning Attacks,-0.5604,-0.5272,4,131,766,148,2019.6959,13.6622,1.3161
15594,Privacy,-0.5868,0.0974,1,99,417,91,2019.0879,19.2527,2.2123
15605,Privacy By Design,-0.6009,-0.0531,1,124,555,116,2020.5172,2.7845,1.5304
15619,Privacy Preserving,-0.5559,-0.0404,1,92,366,72,2019.6528,9.5139,1.5939
16578,Real-World,0.6479,-0.2369,2,108,391,84,2020.1548,5.4524,0.8932
16636,Recent Researches,0.5491,0.746,2,113,502,86,2019.4302,17.1047,1.3461
16816,Reinforcement Learning,-0.6129,0.6786,1,123,724,162,2020,4.6481,0.7398
17244,Risk Assessment,-0.6709,0.4165,1,84,255,67,2018.3881,8.6866,1.1353
17401,Robustness,0.1826,0.5952,5,133,1024,183,2020.0601,3.377,0.7814
17402,Robustness (Control Systems),-0.1022,0.7028,5,104,361,64,2018.4531,12.9688,1.3502
17535,Safety Engineering,0.3746,0.663,2,117,625,117,2019.7949,14.6581,1.2519
17875,Security,-0.769,0.3847,1,133,1045,254,2018.5827,11.8583,1.3586
17972,Security Of Data,-0.8634,0.1295,1,127,656,171,2017.8772,22.6959,1.5042
18026,Security Systems,-0.8152,0.2109,1,115,537,126,2017.9524,14.9127,0.8094
18176,Semantics,0.5993,-0.4979,3,138,1008,202,2019.7079,10.797,1.3094
18456,Side Channel Attack,-0.7195,0.1402,1,74,189,68,2018.4559,11.0735,1.1927
18502,Signal Processing,-0.3382,0.2381,1,105,330,90,2018.9556,5.5889,0.6371
18728,Small Perturbations,0.8419,-0.4764,2,128,719,130,2019.9385,9.9231,0.952
18790,Smart Power Grids,-1.1292,0.3831,1,79,309,61,2019.1803,11.2131,1.2788
18844,Social Networking (Online),-0.351,0.0318,3,79,237,69,2018.7971,10.7101,0.7476
19215,Speech Communication,0.5256,0.4997,3,77,259,61,2019.9508,5.2131,0.9943
19228,Speech Recognition,0.619,0.4737,3,119,776,158,2020.019,9.3228,1.2055
19393,State Of The Art,0.6312,-0.1241,2,148,3050,618,2019.856,16.7799,1.5537
19407,State-Of-The-Art Methods,0.2356,-0.3339,3,114,344,66,2019.9394,8.4545,1.1749
19408,State-Of-The-Art Performance,0.3231,-0.0802,3,115,378,65,2019.7846,17.8308,1.3407
19577,Stochastic Systems,-0.5871,0.5604,1,109,433,119,2019.0084,12.6807,0.7809
19859,Support Vector Machines,-0.7719,-0.5765,4,105,424,72,2018.9306,17.2361,1.1447
20167,Target Model,0.8427,-0.3507,2,95,314,61,2020.0492,17.6721,1.5733
20872,Training Data,-0.0545,-0.4838,4,130,630,121,2019.8017,21.9752,1.2633
22106,White Box,1.0975,0.0716,2,117,754,141,2020.1206,18.1986,1.3367
